Venue Name,URL,Location
Greentrees Estate,https://www.hitched.co.uk/wedding-venues/greentrees-estate_294196.htm,"5.0(5)·Balcombe, West Sussex"
Cowdray House,https://www.hitched.co.uk/wedding-venues/cowdray-house_6552.htm,"5.0(32)·Midhurst, West Sussex"
Southdowns Manor,https://www.hitched.co.uk/wedding-venues/southdowns-manor_2623.htm,5.0(174)·West Sussex
Fitzleroi Barn,https://www.hitched.co.uk/wedding-venues/fitzleroi-barn_7702.htm,"5.0(28)·Pulborough, West Sussex"
Highden Estate,https://www.hitched.co.uk/wedding-venues/highden-estate_303258.htm,"4.9(18)·Horsham, West Sussex"
Cowdray Walled Garden,https://www.hitched.co.uk/wedding-venues/cowdray-walled-garden_191415.htm,"5.0(35)·Midhurst, West Sussex"
Selden Barns,https://www.hitched.co.uk/wedding-venues/selden-barns_5429.htm,"5.0(44)·Patching, West Sussex"
Coming soon,https://www.hitched.co.uk/wedding-venues/coming-soon_199733.htm,West Sussex
Burningfold,https://www.hitched.co.uk/wedding-venues/burningfold_327333.htm,5.0(5)·West Sussex
The Europa Hotel,https://www.hitched.co.uk/wedding-venues/europa-gatwick-hotel_2632.htm,"5.0(3)·Gatwick, West Sussex"
Highley Manor,https://www.hitched.co.uk/wedding-venues/highley-manor_2638.htm,"4.9(90)·Balcombe, West Sussex"
Alexander House Hotel - AA Top 200 hotel,https://www.hitched.co.uk/wedding-venues/alexander-house-hotel-aa-top-200-hotel_2630.htm,"5.0(167)·Copthorne, West Sussex"
The Ravenswood,https://www.hitched.co.uk/wedding-venues/the-ravenswood_2642.htm,"5.0(140)·East Grinstead, West Sussex"
Cottesmore Golf & Country Club,https://www.hitched.co.uk/wedding-venues/cottesmore-golf-country-club_4120.htm,"5.0(143)·Crawley, West Sussex"
Pangdean Old Barn,https://www.hitched.co.uk/wedding-venues/pangdean-old-barn_7434.htm,5.0(64)·West Sussex
Slaugham Place,https://www.hitched.co.uk/wedding-venues/slaugham-place_6520.htm,"4.8(12)·Hickstead, West Sussex"
Brookfield Barn,https://www.hitched.co.uk/wedding-venues/brookfield-barn_6535.htm,"4.8(52)·Lower Beeding, West Sussex"
Upwaltham Barns,https://www.hitched.co.uk/wedding-venues/upwaltham-barns_2898.htm,"5.0(54)·Upwaltham, West Sussex"
The Sloop Inn Sussex,https://www.hitched.co.uk/wedding-venues/the-sloop-inn-sussex_394285.htm,"Haywards Heath, West Sussex"
Balcombe Place,https://www.hitched.co.uk/wedding-venues/balcombe-place_7915.htm,"5.0(23)·Hickstead, West Sussex"
Slindon House,https://www.hitched.co.uk/wedding-venues/slindon-house_177973.htm,"5.0(5)·Arundel, West Sussex"
Leonardslee Wine Estate,https://www.hitched.co.uk/wedding-venues/leonardslee-wine-estate_187929.htm,"5.0(63)·Lower Beeding, West Sussex"
Holiday Inn Gatwick Worth,https://www.hitched.co.uk/wedding-venues/holiday-inn-gatwick-worth_89098.htm,"5.0(28)·Crawley, West Sussex"
Southlands Barn,https://www.hitched.co.uk/wedding-venues/southlands-barn_294636.htm,"5.0(28)·West Chiltington, West Sussex"
Felbridge Gatwick Hotel & Spa,https://www.hitched.co.uk/wedding-venues/crowne-plaza-felbridge-gatwick_4199.htm,"4.9(27)·East Grinstead, West Sussex"
Langshott Manor,https://www.hitched.co.uk/wedding-venues/langshott-manor-aa-top-200-hotel_2385.htm,5.0(93)·West Sussex
South Lodge,https://www.hitched.co.uk/wedding-venues/south-lodge_2649.htm,"5.0(141)·Lower Beeding, West Sussex"
Southend Barns,https://www.hitched.co.uk/wedding-venues/southend-barns_6321.htm,"4.9(24)·Pagham, West Sussex"
Cissbury Barns,https://www.hitched.co.uk/wedding-venues/cissbury-barns_7832.htm,"5.0(91)·Findon, West Sussex"
Long Furlong Barn,https://www.hitched.co.uk/wedding-venues/long-furlong-barn_193515.htm,"5.0(62)·Patching, West Sussex"
Farbridge,https://www.hitched.co.uk/wedding-venues/farbridge_329509.htm,"5.0(6)·Chichester, West Sussex"
Tottington Manor Hotel & Restaurant,https://www.hitched.co.uk/wedding-venues/tottington-manor-hotel-&-restaurant_187981.htm,"Henfield, West Sussex"
East Court,https://www.hitched.co.uk/wedding-venues/east-court_2631.htm,"5.0(3)·East Grinstead, West Sussex"
Tournerbury,https://www.hitched.co.uk/wedding-venues/tournerbury_5865.htm,5.0(92)·West Sussex
The Birch Hotel,https://www.hitched.co.uk/wedding-venues/the-birch-hotel_2643.htm,"4.9(31)·Haywards Heath, West Sussex"
The Castle Inn Hotel,https://www.hitched.co.uk/wedding-venues/the-castle-inn-hotel_314743.htm,"Steyning, West Sussex"
Gaveston Hall,https://www.hitched.co.uk/wedding-venues/gaveston-hall_367345.htm,"Nuthurst, West Sussex"
Historic sussex hotels,https://www.hitched.co.uk/wedding-venues/the-spread-eagle-hotel_7052.htm,"5.0(7)·Midhurst, West Sussex"
The Burlington Hotel,https://www.hitched.co.uk/wedding-venues/the-burlington-hotel_8702.htm,"Worthing, West Sussex"
Harbour Hotel Chichester,https://www.hitched.co.uk/wedding-venues/harbour-hotel-chichester_197271.htm,"5.0(1)·Chichester, West Sussex"
The Roebuck,https://www.hitched.co.uk/wedding-venues/the-roebuck_3678.htm,"5.0(8)·East Grinstead, West Sussex"
Field Place Manor House & Barns,https://www.hitched.co.uk/wedding-venues/field-place_6464.htm,"5.0(36)·Worthing, West Sussex"
Bury Manor Barn,https://www.hitched.co.uk/wedding-venues/bury-manor-barn_8494.htm,"5.0(46)·Pulborough, West Sussex"
Devils Dyke Farm,https://www.hitched.co.uk/wedding-venues/devils-dyke-farm_302992.htm,5.0(5)·West Sussex
Shermanbury Place,https://www.hitched.co.uk/wedding-venues/shermanbury-place_350149.htm,"5.0(2)·Horsham, West Sussex"
Horsted Place Hotel,https://www.hitched.co.uk/wedding-venues/horsted-place-hotel_822.htm,5.0(54)·West Sussex
Ockenden Manor,https://www.hitched.co.uk/wedding-venues/ockenden-manor_2640.htm,"5.0(11)·Cuckfield, West Sussex"
Pelham House,https://www.hitched.co.uk/wedding-venues/pelham-house_4296.htm,4.8(65)·West Sussex
Findon Manor Hotel,https://www.hitched.co.uk/wedding-venues/findon-manor-hotel_2652.htm,"4.9(37)·Worthing, West Sussex"
Castle Goring,https://www.hitched.co.uk/wedding-venues/castle-goring_6770.htm,"5.0(8)·Patching, West Sussex"
Bailiffscourt Hotel & Spa,https://www.hitched.co.uk/wedding-venues/bailiffscourt-hotel_7051.htm,"Climping, West Sussex"
The Hyde Estate,https://www.hitched.co.uk/wedding-venues/the-hyde-estate_8018.htm,"5.0(4)·Hickstead, West Sussex"
Nymans,https://www.hitched.co.uk/wedding-venues/nymans_8139.htm,"5.0(16)·Handcross, West Sussex"
Great Ote Hall,https://www.hitched.co.uk/wedding-venues/great-ote-hall_125130.htm,"5.0(2)·Burgess Hill, West Sussex"
Decoy Ponds,https://www.hitched.co.uk/wedding-venues/decoy-ponds_135280.htm,"Arundel, West Sussex"
The White Swan Hotel,https://www.hitched.co.uk/wedding-venues/the-white-swan-hotel_4516.htm,"Arundel, West Sussex"
Naldretts Events and Weddings,https://www.hitched.co.uk/wedding-venues/naldretts-events-and-weddings_342925.htm,"5.0(2)·Billingshurst, West Sussex"
The Cricketers,https://www.hitched.co.uk/wedding-venues/the-cricketers_351789.htm,"Worthing, West Sussex"
The Norfolk Arms Hotel,https://www.hitched.co.uk/wedding-venues/the-norfolk-arms-hotel_188393.htm,"5.0(2)·Arundel, West Sussex"
Chichester Yacht Club,https://www.hitched.co.uk/wedding-venues/chichester-yacht-club_198957.htm,"5.0(9)·Pagham, West Sussex"
Ham Manor Golf Club,https://www.hitched.co.uk/wedding-venues/ham-manor-golf-club_105849.htm,"Angmering, West Sussex"
Lordington Lavender,https://www.hitched.co.uk/wedding-venues/lordington-lavender_394949.htm,"Chichester, West Sussex"
Great Betley Farmhouse,https://www.hitched.co.uk/wedding-venues/great-betley-farmhouse_322813.htm,"Henfield, West Sussex"
Loxton Park,https://www.hitched.co.uk/wedding-venues/loxton-park_363957.htm,"5.0(1)·West Wittering, West Sussex"
WTM Venue Hire,https://www.hitched.co.uk/wedding-venues/wtm-venue-hire_342331.htm,"Worthing, West Sussex"
Cuckfield Golf Centre,https://www.hitched.co.uk/wedding-venues/cuckfield-golf-centre_5876.htm,"Hickstead, West Sussex"
Roffey Park,https://www.hitched.co.uk/wedding-venues/roffey-park_195103.htm,"Horsham, West Sussex"
Haylands Barn,https://www.hitched.co.uk/wedding-venues/haylands-barn_308391.htm,"5.0(1)·Petworth, West Sussex"
The Ark,https://www.hitched.co.uk/wedding-venues/the-ark_352291.htm,"Turners Hill, West Sussex"
Duncton Mill Events,https://www.hitched.co.uk/wedding-venues/duncton-mill-events_332549.htm,"5.0(1)·Petworth, West Sussex"
Copthorne Effingham Park Hotel,https://www.hitched.co.uk/wedding-venues/copthorne-effingham-park-hotel_187755.htm,"Copthorne, West Sussex"
Fallow Meadow,https://www.hitched.co.uk/wedding-venues/fallow-meadow_360951.htm,"East Grinstead, West Sussex"
Selsey Town Hall,https://www.hitched.co.uk/wedding-venues/selsey-town-hall_320053.htm,"5.0(1)·Selsey, West Sussex"
"Wickwoods Country Club, Hotel & Spa",https://www.hitched.co.uk/wedding-venues/wickwoods-country-club-hotel-&-spa_92363.htm,"Hassocks, West Sussex"
Architectural Plants,https://www.hitched.co.uk/wedding-venues/architectural-plants_359375.htm,"5.0(1)·Pulborough, West Sussex"
Southwood Park Estate,https://www.hitched.co.uk/wedding-venues/southwood-park-estate_344215.htm,"Horsham, West Sussex"
Rumbolds Farm,https://www.hitched.co.uk/wedding-venues/rumbolds-farm_191445.htm,"5.0(18)·Plaistow, West Sussex"
Eartham House,https://www.hitched.co.uk/wedding-venues/eartham-house_322721.htm,"Chichester, West Sussex"
Grittenham Barn,https://www.hitched.co.uk/wedding-venues/grittenham-barn_194197.htm,"5.0(8)·Petworth, West Sussex"
Random Hall,https://www.hitched.co.uk/wedding-venues/random-hall_194173.htm,"5.0(1)·Lower Beeding, West Sussex"
